"ID"	"Link"	"Alias"	"Lang"	"Primary"	"FileVersion"
1	10533	"Agar Agar"	"E"	1	200
2	10536	"Agave syrup"	"E"	1	200
3	273	"Almond"	"E"	1	200
4	278	"Almond, dry roasted, salted"	"E"	1	200
5	269	"Almond, roasted, salted"	"E"	1	200
6	13398	"Amaranth, seed, cooked (without addition of fat and salt)"	"E"	1	200
7	13397	"Amaranth, seed, raw"	"E"	1	200
8	868	"Amaretti (Almond cookie)"	"E"	1	200
9	10532	"Anchovis paste"	"E"	1	200
10	554	"Appenzeller, at least 15% fidm"	"E"	1	200
11	553	"Appenzeller, at least 45% fidm"	"E"	1	200
12	378	"Apple, fresh"	"E"	1	200
13	568	"Apple juice"	"E"	1	200
14	435	"Apple, peeled, dried"	"E"	1	200
15	1480	"Apple pie, baked (with cake dough)"	"E"	1	200
16	1479	"Apple pie, baked (with puff pastry)"	"E"	1	200
17	627	"Applesauce, sweetened, canned"	"E"	1	200
18	628	"Applesauce, unsweetened, canned"	"E"	1	200
19	1049	"Apple, stewed, drained (without addition of sugar)"	"E"	1	200
20	469	"Apricot, dried"	"E"	1	200
21	1482	"Apricot pie, baked (with cake dough)"	"E"	1	200
22	1481	"Apricot pie, baked (with puff pastry)"	"E"	1	200
23	379	"Apricot, raw"	"E"	1	200
24	1051	"Apricot, stewed, drained (without addition of sugar)"	"E"	1	200
25	621	"Apricot, sweetened, canned"	"E"	1	200
26	623	"Apricot, unsweetened, canned"	"E"	1	200
27	443	"Asparagus, raw"	"E"	1	200
28	1024	"Asparagus, steamed (without addition of salt)"	"E"	1	200
29	380	"Avocado, fresh"	"E"	1	200
30	704	"Bacon for cooking"	"E"	1	200
31	707	"Bacon, raw"	"E"	1	200
32	845	"Baguette"	"E"	1	200
33	1577	"Bami Goreng, prepared"	"E"	1	200
34	741	"Banana, dried"	"E"	1	200
35	740	"Banana, dried (banana chips)"	"E"	1	200
36	381	"Banana, raw"	"E"	1	200
37	739	"Barley flakes"	"E"	1	200
38	1587	"Barley risotto, cooked"	"E"	1	200
39	464	"Basil, raw"	"E"	1	200
40	1248	"Basler Leckerli (Swiss biscuit from Basel)"	"E"	1	200
41	473	"Bean, green, dried"	"E"	1	200
42	353	"Bean, green, raw"	"E"	1	200
43	12981	"Béchamel sauce home made"	"E"	1	200
44	1103	"Beef (average excluding offal, chop), raw"	"E"	1	200
45	13292	"Beef, boiling meat lean, cooked (without addition of fat and salt)"	"E"	1	200
46	36	"Beef, boiling meat, lean, raw"	"E"	1	200
47	13291	"Beef, boiling meat with fat, cooked (without addition of fat and salt)"	"E"	1	200
48	35	"Beef, boiling meat, with fat, raw"	"E"	1	200
