"ID"	"Category"	"Lang"	"Parent"
1	"Diversi"	""	0
1	"Divers"	"9"	0
1	"Verschiedenes"	"D"	0
1	"Various"	"E"	0
1	"Divers"	"F"	0
1	"Diversi"	"I"	0
2	"Gelificanti e leganti"	""	1
2	"Gelier- und Bindemittel"	"D"	1
2	"Gelling and binding agents"	"E"	1
2	"Gélifiants et liants"	"F"	1
3	"Dolciumi"	""	0
3	"Süssigkeiten"	"D"	0
3	"Sweets"	"E"	0
3	"Sucreries"	"F"	0
4	"Zucker und Süssstoffe"	"D"	3
4	"Sugar and sweeteners"	"E"	3
4	"Sucres et édulcorants"	"F"	3
5	"Noci, semi e frutti oleosi"	""	0
5	"Noix, graines et produits oléagineux"	"-"	0
5	"Nüsse, Samen und Ölfrüchte"	"D"	0
5	"Nuts, seeds and oleaginous fruit"	"E"	0
5	"Noix, graines et produits oléagineux"	"F"	0
6	"Snack salati"	""	0
6	"Salzige Snacks"	"D"	0
6	"Savoury snacks"	"E"	0
6	"Snacks salés"	"F"	0
7	"Noci e semi salati"	""	6
7	"Gesalzene Nüsse, Samen, Kerne"	"D"	6
7	"Salted nuts, seeds and kernels"	"E"	6
7	"Noix et graines salées"	"F"	6
8	"Produits céréaliers, légumineuses et pommes de terre"	""	0
8	"Produits céréaliers, légumineuses et pommes de terre"	"3"	0
8	"Getreideprodukte, Hülsenfrüchte und Kartoffeln"	"D"	0
8	"Cereal products, pulses and potatoes"	"E"	0
8	"Produits céréaliers, légumineuses et pommes de terre"	"F"	0
9	"Autres produits céréaliers"	""	8
9	"Sonstige Getreideprodukte"	"D"	8
9	"Other cereal products"	"E"	8
9	"Autres produits céréaliers"	"F"	8
10	"Biscotti"	""	3
10	"Guetzli"	"D"	3
10	"Cookies/Biscuits"	"E"	3
10	"Biscuits"	"F"	3
11	"Prodotti da spalmare"	""	1
11	"Aufstriche"	"D"	1
11	"Spreads"	"E"	1
11	"Pâtes à tartiner"	"F"	1
12	"Lait et produits laitiers"	""	0
12	"Lait et produits laitiers"	"-"	0
12	"Lait et produits laitiers"	"9"	0
12	"Milch und Milchprodukte"	"D"	0
12	"Milk and dairy products"	"E"	0
12	"Lait et produits laitiers"	"F"	0
12	"Latte e prodotti di latte"	"I"	0
13	"Fromage à pâte dure"	""	12
13	"Hartkäse"	"D"	12
13	"Hard cheese"	"E"	12
13	"Fromage à pâte dure"	"F"	12
14	"Fruits"	""	0
14	"Fruits"	"-"	0
14	"Fruits"	"9"	0
14	"Früchte"	"D"	0
14	"Fruit"	"E"	0
14	"Fruits"	"F"	0
15	"Fruits frais"	""	14
15	"Fruits frais"	"-"	14
15	"Fruits frais"	"9"	14
15	"Früchte frisch"	"D"	14
15	"Fresh fruit"	"E"	14
15	"Fruits frais"	"F"	14
16	"Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte"	"D"	14
16	"Fruit juices"	"E"	14
17	"Fruits secs"	""	14
17	"Früchte getrocknet"	"D"	14
17	"Dried fruit"	"E"	14
17	"Fruits secs"	"F"	14
18	"Dolci, torte e cake"	""	3
18	"Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins"	"D"	3
18	"Cakes and tarts"	"E"	3
18	"Gâteaux, tourtes et cakes"	"F"	3
19	"Frutta cotta (incl. conserve)"	""	14
19	"Früchte gekocht (inkl. Konserven)"	"D"	14
19	"Cooked fruit (incl. cans)"	"E"	14
19	"Fruits cuits (conserves comprises)"	"F"	14
20	"Légumes"	""	0
20	"Légumes"	"-"	0
20	"Verdure"	"9"	0
20	"Gemüse"	"D"	0
20	"Vegetables"	"E"	0
20	"Légumes"	"F"	0
21	"Légumes frais"	""	20
21	"Légumes frais"	"-"	20
21	"Verdure fresche"	"9"	20
21	"Gemüse frisch"	"D"	20
21	"Fresh vegetables"	"E"	20
21	"Légumes frais"	"F"	20
22	"Verdure cotte (incl. conserve)"	""	20
22	"Gemüse gekocht (inkl. Konserven)"	"D"	20
22	"Cooked vegetables (incl. cans)"	"E"	20
22	"Légumes cuits (conserves comprises)"	"F"	20
23	"Produits carnés et charcuterie"	""	0
