"ID"	"ID_SwissFIR"	"Category"	"Density"	"Matrix_unit_Density"	"Energy_kilojoules"	"Energy_kilocalories"	"Fat_total"	"Fatty_acids_saturated"	"Fatty_acids_monounsaturated"	"Fatty_acids_polyunsaturated"	"Cholesterol"	"Carbohydrates_available"	"Sugars"	"Starch"	"Dietary_fibres"	"Protein"	"Salt_NaCl"	"Alcohol"	"Water"	"Vitamin_A_activity_RE"	"Vitamin_A_activity_RAE"	"All-trans_retinol_equivalents"	"Beta-carotene_activity"	"Beta-carotene"	"Vitamin_B1_thiamine"	"Vitamin_B2_riboflavin"	"Vitamin_B6_pyridoxine"	"Vitamin_B12_cobalamin"	"Niacin"	"Folate"	"Panthotenic_acid"	"Vitamin_C_ascorbic_acid"	"Vitamin_D_calciferol"	"Vitamin_E_activity"	"Potassium_K"	"Sodium_Na"	"Chloride_Cl"	"Calcium_Ca"	"Magnesium_Mg"	"Phosphorus_P"	"Iron_Fe"	"Iodide_I"	"Zinc_Zn"	"Selenium_Se"	"Record_has_changed"	"FileVersion"	"Branded"	"Language"
0	0	114	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	200	0	0.00
1	811047	70	0	0	848.00	204.00	14.50	6.20	6.80	1.10	73.00	0.00	0.00	0.00	0.00	18.30	0.20	0.00	63.90	6.00	5.00	0.00	0.00	0.00	0.08	0.19	0.32	1.60	0.00	7.00	1.50	0.00	5.00	0.29	310.00	64.00	67.00	5.30	18.00	170.00	0.60	1.90	2.60	0.00	0	200	0	0.00
2	811051	70	0	0	674.00	161.00	8.70	3.60	3.70	0.80	62.00	0.00	0.00	0.00	0.00	20.70	0.10	0.00	69.80	6.00	5.00	0.00	0.00	0.00	0.08	0.19	0.62	1.60	0.00	7.00	1.50	0.00	5.00	0.79	340.00	51.00	67.00	5.30	19.00	180.00	0.60	0.10	2.90	0.00	0	200	0	0.00
3	811052	70	0	0	476.00	113.00	2.40	1.10	1.20	0.40	65.00	0.00	0.00	0.00	0.00	22.80	0.10	0.00	73.40	6.00	5.00	0.00	0.00	0.00	0.08	0.19	0.51	1.60	0.00	7.00	1.50	0.00	5.00	0.50	360.00	44.00	67.00	4.70	21.00	200.00	0.50	3.50	2.30	0.00	0	200	0	0.00
4	811056	87	0	0	647.00	155.00	8.20	4.40	3.70	0.90	65.00	0.00	0.00	0.00	0.00	20.20	0.20	0.00	69.10	9.00	9.00	9.00	0.00	0.00	0.18	0.06	0.46	3.61	0.00	6.00	0.92	0.00	6.10	0.40	330.00	61.00	76.00	4.70	20.00	190.00	1.60	0.80	3.60	4.70	0	200	0	0.00
5	811057	87	0	0	747.00	179.00	10.90	5.20	4.00	0.90	72.00	0.00	0.00	0.00	0.00	20.20	0.20	0.00	65.40	9.00	9.00	9.00	0.00	0.00	0.18	0.06	0.32	3.61	0.00	6.00	0.57	0.00	5.20	0.50	310.00	69.00	79.00	8.40	20.00	180.00	1.50	0.90	2.10	7.00	0	200	0	0.00
6	811079	34	0	0	645.00	154.00	7.50	3.20	3.40	0.50	56.00	0.00	0.00	0.00	0.00	21.60	0.20	0.00	69.70	8.00	7.00	6.00	10.00	10.00	0.06	0.12	0.45	1.90	3.86	10.00	0.31	0.00	0.50	0.26	310.00	61.00	50.00	5.00	17.00	160.00	2.00	3.00	4.40	0.00	0	200	0	0.00
7	811083	62	0	0	663.00	159.00	8.50	3.10	4.20	0.80	63.00	0.00	0.00	0.00	0.00	20.50	0.10	0.00	70.30	3.00	3.00	3.00	0.00	0.00	0.84	0.16	0.39	0.80	4.93	4.00	0.70	0.00	0.40	0.27	330.00	46.00	56.00	4.20	19.00	180.00	1.10	1.00	2.70	0.00	0	200	0	0.00
8	811086	62	0	0	749.00	179.00	10.40	3.90	4.70	1.00	56.00	0.00	0.00	0.00	0.00	21.40	0.10	0.00	66.30	3.00	3.00	3.00	0.00	0.00	0.84	0.16	0.70	0.70	0.00	2.00	0.79	0.00	0.40	0.27	350.00	43.00	66.00	4.90	21.00	200.00	0.40	1.10	1.40	17.00	0	200	0	0.00
9	811089	62	0	0	566.00	135.00	5.70	2.10	2.90	0.60	63.00	0.00	0.00	0.00	0.00	20.90	0.10	0.00	72.10	3.00	3.00	3.00	0.00	0.00	0.70	0.31	0.39	0.70	4.93	2.00	0.78	0.00	0.40	0.52	340.00	46.00	56.00	4.70	19.00	190.00	0.80	0.80	2.50	0.00	0	200	0	0.00
