ID	ID V 4.0	ID SwissFIR	Name	Synonyme	Kategorie	Spezifisches	Gewicht Matrixeinheit	Energie, Kilojoule	Herleitung des Wertes	Quelle	Energie, Kalorien	Herleitung des Wertes	Quelle	Fett, total (g)	Herleitung des Wertes	Quelle	Fettsäuren, gesättigt (g)	Herleitung des Wertes	Quelle	Fettsäuren, einfach ungesättigt (g)	Herleitung des Wertes	Quelle	Fettsäuren, mehrfach ungesättigt (g)	Herleitung des Wertes	Quelle	Cholesterin (mg)	Herleitung des Wertes	Quelle	Kohlenhydrate, verfügbar (g)	Herleitung des Wertes	Quelle	Zucker (g)	Herleitung des Wertes	Quelle	Stärke (g)	Herleitung des Wertes	Quelle	Nahrungsfasern (g)	Herleitung des Wertes	Quelle	Protein (g)	Herleitung des Wertes	Quelle	Salz (NaCl) (g)	Herleitung des Wertes	Quelle	Alkohol (g)	Herleitung des Wertes	Quelle	Wasser (g)	Herleitung des Wertes	Quelle	Vitamin A-Aktivität, RE (µg-RE)	Herleitung des Wertes	Quelle	Vitamin A-Aktivität, RAE (µg-RE)	Herleitung des Wertes	Quelle	All-trans Retinol-Äquivalente (µg-RE)	Herleitung des Wertes	Quelle	Betacarotin-Aktivität (µg-BCE)	Herleitung des Wertes	Quelle	Betacarotin (µg)	Herleitung des Wertes	Quelle	Vitamin B1 (Thiamin) (mg)	Herleitung des Wertes	Quelle	Vitamin B2 (Riboflavin) (mg)	Herleitung des Wertes	Quelle	Vitamin B6 (Pyridoxin) (mg)	Herleitung des Wertes	Quelle	Vitamin B12 (Cobalamin) (µg)	Herleitung des Wertes	Quelle	Niacin (mg)	Herleitung des Wertes	Quelle	Folat (µg)	Herleitung des Wertes	Quelle	Pantothensäure (mg)	Herleitung des Wertes	Quelle	Vitamin C (Ascorbinsäure) (mg)	Herleitung des Wertes	Quelle	Vitamin D (Calciferol) (µg)	Herleitung des Wertes	Quelle	Vitamin E-Aktivität (mg-ATE)	Herleitung des Wertes	Quelle	Kalium (K) (mg)	Herleitung des Wertes	Quelle	Natrium (Na) (mg)	Herleitung des Wertes	Quelle	Chlorid (Cl) (mg)	Herleitung des Wertes	Quelle	Calcium (Ca) (mg)	Herleitung des Wertes	Quelle	Magnesium (Mg) (mg)	Herleitung des Wertes	Quelle	Phosphor (P) (mg)	Herleitung des Wertes	Quelle	Eisen (Fe) (mg)	Herleitung des Wertes	Quelle	Jod (I) (µg)	Herleitung des Wertes	Quelle	Zink (Zn)  (mg)	Herleitung des Wertes	Quelle	Selen (Se) (µg)	Herleitung des Wertes	Quelle	Geänderter Eintrag
1251			Aberlour 10 years old Malt Scotch Whisky (43 vol%)		Alkoholhaltige Getränke/Spirituosen	0.9	pro 100 ml	986	Automatisierte Berechnung		238	Automatisierte Berechnung		0	Schätzung	1003	k.A.			k.A.			k.A.			0	Schätzung	1129	0	Schätzung	1003	k.A.			k.A.			0	Schätzung	1129	0	Schätzung	1003	k.A.			34	Schätzung	1059	66	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1252			Absolut Vodka (40 vol%)		Alkoholhaltige Getränke/Spirituosen	0.9	pro 100 ml	916	Automatisierte Berechnung		221	Automatisierte Berechnung		0	Schätzung	1003	k.A.			k.A.			k.A.			0	Schätzung	1129	0	Schätzung	1003	k.A.			k.A.			0	Schätzung	1129	0	Schätzung	1003	k.A.			31.6	Schätzung	1059	68.4	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1253			Amaro Ramazzotti (30 vol%)		Alkoholhaltige Getränke/Sonstige alkoholische Getränke	1.1	pro 100 ml	1010	Automatisierte Berechnung		242	Automatisierte Berechnung		0	Schätzung	1129	k.A.			k.A.			k.A.			0	Schätzung	1129	19	Schätzung	1129	19	Schätzung	1129	k.A.			0	Schätzung	1129	0	Schätzung	1129	k.A.			23.7	Schätzung	1072	57.3	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1254			Ballantine's 12 years old blended Scotch Whisky (40 vol%)		Alkoholhaltige Getränke/Spirituosen	0.9	pro 100 ml	917	Automatisierte Berechnung		221	Automatisierte Berechnung		0	Schätzung	1129	k.A.			k.A.			k.A.			0	Schätzung	1129	0	Schätzung	1129	k.A.			k.A.			0	Schätzung	1129	0	Schätzung	1129	k.A.			31.6	Schätzung	1061	68.4	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1255			Ballantine's Finest blended Scotch Whisky (40 vol%)		Alkoholhaltige Getränke/Spirituosen	0.9	pro 100 ml	917	Automatisierte Berechnung		221	Automatisierte Berechnung		0	Schätzung	1129	k.A.			k.A.			k.A.			0	Schätzung	1129	0	Schätzung	1129	k.A.			k.A.			0	Schätzung	1129	0	Schätzung	1129	k.A.			31.6	Schätzung	1062	68.4	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1159	3588		Bier, alkoholfrei (Durchschnitt Produktsortiment)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	88	Automatisierte Berechnung		21	Automatisierte Berechnung		0	Berechnung anhand von Zutaten		0	Berechnung anhand von Zutaten		k.A.			k.A.			0	Berechnung anhand von Zutaten		4.1	Berechnung anhand von Zutaten		1.3	Berechnung anhand von Zutaten		k.A.			0.1	Berechnung anhand von Zutaten		0.4	Berechnung anhand von Zutaten		k.A.			0.3	Berechnung anhand von Zutaten		95	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			2.9	Berechnung anhand von Zutaten		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1160	4109		Bier, Lager (Durchschnitt Produktsortiment)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	162	Automatisierte Berechnung		39	Automatisierte Berechnung		0	Berechnung anhand von Zutaten		0	Berechnung anhand von Zutaten		k.A.			k.A.			0	Berechnung anhand von Zutaten		2.4	Berechnung anhand von Zutaten		0.3	Berechnung anhand von Zutaten		k.A.			0.1	Berechnung anhand von Zutaten		0.5	Berechnung anhand von Zutaten		k.A.			3.9	Berechnung anhand von Zutaten		93.2	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			3.3	Berechnung anhand von Zutaten		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1145	4060		Calanda Lager (4.8 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	167	Automatisierte Berechnung		40	Automatisierte Berechnung		<0.1	-	1045	<0.1	-	1045	k.A.			k.A.			0	Schätzung	1003	2.6	-	1045	0	-	1045	k.A.			0.1	-	1045	0.5	-	1045	k.A.			3.8	Schätzung	1047	93	Schätzung	1003	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			1	-	1045	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1146	3687		Calanda Lemon (2.4 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	154	Automatisierte Berechnung		37	Automatisierte Berechnung		<0.1	-	1046	<0.1	-	1046	k.A.			k.A.			0	Schätzung	1003	5.3	-	1046	3.8	-	1046	k.A.			0.1	-	1046	0.3	-	1046	k.A.			1.9	Schätzung	1048	92.5	Schätzung	1003	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			1	-	1046	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1138	3689		Cardinal Lager (4.8 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	153	Automatisierte Berechnung		37	Automatisierte Berechnung		0	-	1055	0	-	1055	k.A.			k.A.			0	Schätzung	1003	2	-	1055	<0.5	-	1055	k.A.			0	Schätzung	1003	<0.5	-	1055	k.A.			3.8	Schätzung	1055	93.7	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			<5	-	1055	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1155	3562		Cardinal sans alcool (<0.5 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	80	Automatisierte Berechnung		19	Automatisierte Berechnung		0	-	1056	0	-	1056	k.A.			k.A.			0	Schätzung	1003	3.5	-	1056	1	-	1056	k.A.			0	Schätzung	1003	<0.5	-	1056	k.A.			<0.4	-	1056	95.6	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			<5	-	1056	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
