ID	ID V 4.0	ID SwissFIR	Name	Synonyms	Category	Density	Matrix unit	Energy, kilojoules (kJ)	Derivation of value	Source	Energy, kilocalories (kcal)	Derivation of value	Source	Fat, total (g)	Derivation of value	Source	Fatty acids, saturated (g)	Derivation of value	Source	Fatty acids, monounsaturated (g)	Derivation of value	Source	Fatty acids, polyunsaturated (g)	Derivation of value	Source	Cholesterol (mg)	Derivation of value	Source	Carbohydrates, available (g)	Derivation of value	Source	Sugars (g)	Derivation of value	Source	Starch (g)	Derivation of value	Source	Dietary fibres (g)	Derivation of value	Source	Protein (g)	Derivation of value	Source	Salt (NaCl) (g)	Derivation of value	Source	Alcohol (g)	Derivation of value	Source	Wasser (g)	Derivation of value	Source	Vitamin A activity, RE (µg-RE)	Derivation of value	Source	Vitamin A activity, RAE (µg-RE)	Derivation of value	Source	All-trans retinol equivalents (µg-RE)	Derivation of value	Source	Beta- carotene activity (µg-BCE)	Derivation of value	Source	Beta-carotene (µg)	Derivation of value	Source	Vitamin B1 (thiamine) (mg)	Derivation of value	Source	Vitamin B2 (riboflavin) (mg)	Derivation of value	Source	Vitamin B6 (pyridoxine) (mg)	Derivation of value	Source	Vitamin B12 (cobalamin) (µg)	Derivation of value	Source	Niacin (mg)	Derivation of value	Source	Folate (µg)	Derivation of value	Source	Panthotenic acid (mg)	Derivation of value	Source	Vitamin C (ascorbic acid) (mg)	Derivation of value	Source	Vitamin D (calciferol) (µg)	Derivation of value	Source	Vitamin E activity (mg-ATE)	Derivation of value	Source	Potassium (K) (mg)	Derivation of value	Source	Sodium (Na) (mg)	Derivation of value	Source	Chloride (Cl) (mg)	Derivation of value	Source	Calcium (Ca) (mg)	Derivation of value	Source	Magnesium (Mg) (mg)	Derivation of value	Source	Phosphorus (P) (mg)	Derivation of value	Source	Iron (Fe) (mg)	Derivation of value	Source	Iodide (I) (µg)	Derivation of value	Source	Zinc (Zn) (mg)	Derivation of value	Source	Selenium (Se) (µg)	Derivation of value	Source	Record has changed
1251			Aberlour 10 years old Malt Scotch Whisky (43 vol%)		Alcoholic beverages/Spirits	0.9	per 100ml food volume	986	Automated calculation		238	Automated calculation		0	Estimation	1003	n.d.			n.d.			n.d.			0	Estimation	1129	0	Estimation	1003	n.d.			n.d.			0	Estimation	1129	0	Estimation	1003	n.d.			34	Estimation	1059	66	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1252			Absolut Vodka (40 vol%)		Alcoholic beverages/Spirits	0.9	per 100ml food volume	916	Automated calculation		221	Automated calculation		0	Estimation	1003	n.d.			n.d.			n.d.			0	Estimation	1129	0	Estimation	1003	n.d.			n.d.			0	Estimation	1129	0	Estimation	1003	n.d.			31.6	Estimation	1059	68.4	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
13428			Almond drink, plain (Average of branded products)		Milk and dairy products/Milk substitutes	1	per 100ml food volume	181	Automated calculation		44	Automated calculation		3.2	-	1682	0.3	-	1682	n.d.			n.d.			n.d.			2.3	-	1682	2	-	1682	n.d.			0.6	-	1682	1.1	-	1682	0.1	-	1682	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
13433			Almond drink, with calcium and vitamin fortified (Average of branded foods)		Milk and dairy products/Milk substitutes	1	per 100ml food volume	50	Automated calculation		12	Automated calculation		1.1	-	1682	0.1	-	1682	n.d.			n.d.			n.d.			0.3	-	1682	0.3	-	1682	n.d.			0.3	-	1682	0.2	-	1682	0.2	-	1682	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			0.38	-	1682	n.d.			n.d.			n.d.			n.d.			0.8	-	1682	n.d.			n.d.			n.d.			n.d.			120	-	1682	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1253			Amaro Ramazzotti (30 vol%)		Alcoholic beverages/Other alcoholic beverages	1.1	per 100ml food volume	1010	Automated calculation		242	Automated calculation		0	Estimation	1129	n.d.			n.d.			n.d.			0	Estimation	1129	19	Estimation	1129	19	Estimation	1129	n.d.			0	Estimation	1129	0	Estimation	1129	n.d.			23.7	Estimation	1072	57.3	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1254			Ballantine's 12 years old blended Scotch Whisky (40 vol%)		Alcoholic beverages/Spirits	0.9	per 100ml food volume	917	Automated calculation		221	Automated calculation		0	Estimation	1129	n.d.			n.d.			n.d.			0	Estimation	1129	0	Estimation	1129	n.d.			n.d.			0	Estimation	1129	0	Estimation	1129	n.d.			31.6	Estimation	1061	68.4	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1255			Ballantine's Finest blended Scotch Whisky (40 vol%)		Alcoholic beverages/Spirits	0.9	per 100ml food volume	917	Automated calculation		221	Automated calculation		0	Estimation	1129	n.d.			n.d.			n.d.			0	Estimation	1129	0	Estimation	1129	n.d.			n.d.			0	Estimation	1129	0	Estimation	1129	n.d.			31.6	Estimation	1062	68.4	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1160	4109		Beer, Lager (average product range)		Alcoholic beverages/Beer	1	per 100ml food volume	162	Automated calculation		39	Automated calculation		0	Calculation on the basis of ingredients		0	Calculation on the basis of ingredients		n.d.			n.d.			0	Calculation on the basis of ingredients		2.4	Calculation on the basis of ingredients		0.3	Calculation on the basis of ingredients		n.d.			0.1	Calculation on the basis of ingredients		0.5	Calculation on the basis of ingredients		n.d.			3.9	Calculation on the basis of ingredients		93.2	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			3.3	Calculation on the basis of ingredients		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1159	3588		Beer, without alcohol (average product range)		Alcoholic beverages/Beer	1	per 100ml food volume	88	Automated calculation		21	Automated calculation		0	Calculation on the basis of ingredients		0	Calculation on the basis of ingredients		n.d.			n.d.			0	Calculation on the basis of ingredients		4.1	Calculation on the basis of ingredients		1.3	Calculation on the basis of ingredients		n.d.			0.1	Calculation on the basis of ingredients		0.4	Calculation on the basis of ingredients		n.d.			0.3	Calculation on the basis of ingredients		95	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			2.9	Calculation on the basis of ingredients		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1145	4060		Calanda Lager (4.8 vol%)		Alcoholic beverages/Beer	1	per 100ml food volume	167	Automated calculation		40	Automated calculation		<0.1	-	1045	<0.1	-	1045	n.d.			n.d.			0	Estimation	1003	2.6	-	1045	0	-	1045	n.d.			0.1	-	1045	0.5	-	1045	n.d.			3.8	Estimation	1047	93	Estimation	1003	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			1	-	1045	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
