ID	ID V 4.0	ID SwissFIR	Nom	Synonymes	Catégorie	Densité	Unité de matrice	Énergie, kilojoules	Dérivation de la valeur	Source	Énergie, calories	Dérivation de la valeur	Source	Lipides, totaux (g)	Dérivation de la valeur	Source	Acides gras, saturés (g)	Dérivation de la valeur	Source	Acides gras, mono-insaturés (g)	Dérivation de la valeur	Source	Acides gras, poly-insaturés (g)	Dérivation de la valeur	Source	Cholestérol (mg)	Dérivation de la valeur	Source	Glucides, disponibles (g)	Dérivation de la valeur	Source	Sucres (g)	Dérivation de la valeur	Source	Amidon (g)	Dérivation de la valeur	Source	Fibres alimentaires (g)	Dérivation de la valeur	Source	Proteines (g)	Dérivation de la valeur	Source	Sel (NaCl) (g)	Dérivation de la valeur	Source	Alcool (g)	Dérivation de la valeur	Source	Eau (g)	Dérivation de la valeur	Source	Activité de vitamine A, RE (µg-RE)	Dérivation de la valeur	Source	Activité de vitamine A, RAE (µg-RE)	Dérivation de la valeur	Source	Equivalents d’all-transrétinol (µg-RE)	Dérivation de la valeur	Source	Activité de bétacarotène (µg-BCE)	Dérivation de la valeur	Source	Bétacarotène (µg)	Dérivation de la valeur	Source	Vitamine B1 (thiamine) (mg)	Dérivation de la valeur	Source	Vitamine B2 (riboflavine) (mg)	Dérivation de la valeur	Source	Vitamine B6 (pyridoxine) (mg)	Dérivation de la valeur	Source	Vitamine B12 (cobalamine) (µg)	Dérivation de la valeur	Source	Niacine (mg)	Dérivation de la valeur	Source	Folate (µg)	Dérivation de la valeur	Source	Acide pantothénique (mg)	Dérivation de la valeur	Source	Vitamine C (acide ascorbique) (mg)	Dérivation de la valeur	Source	Vitamine D (calciférol) (µg)	Dérivation de la valeur	Source	Activité de vitamine E (mg-ATE)	Dérivation de la valeur	Source	Potassium (K) (mg)	Dérivation de la valeur	Source	Sodium (Na) (mg)	Dérivation de la valeur	Source	Clor (Cl) (mg)	Dérivation de la valeur	Source	Calcium (Ca) (mg)	Dérivation de la valeur	Source	Magnésium (Mg) (mg)	Dérivation de la valeur	Source	Phosphore (P) (mg)	Dérivation de la valeur	Source	Fer (Fe) (mg)	Dérivation de la valeur	Source	Iode (I) (µg)	Dérivation de la valeur	Source	Zinc (Zn)  (mg)	Dérivation de la valeur	Source	Sélénium (Se) (µg)	Dérivation de la valeur	Source	Entrée modifiée
1251			Aberlour 10 years old Malt Scotch Whisky (43 vol%)		Boissons alcoolisées/Spiritueux	0.9	par 100 ml	986	Calcul automatisé		238	Calcul automatisé		0	Estimation	1003	n.i.			n.i.			n.i.			0	Estimation	1129	0	Estimation	1003	n.i.			n.i.			0	Estimation	1129	0	Estimation	1003	n.i.			34	Estimation	1059	66	Calcul automatisé		n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
1252			Absolut Vodka (40 vol%)		Boissons alcoolisées/Spiritueux	0.9	par 100 ml	916	Calcul automatisé		221	Calcul automatisé		0	Estimation	1003	n.i.			n.i.			n.i.			0	Estimation	1129	0	Estimation	1003	n.i.			n.i.			0	Estimation	1129	0	Estimation	1003	n.i.			31.6	Estimation	1059	68.4	Calcul automatisé		n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
1253			Amaro Ramazzotti (30 vol%)		Boissons alcoolisées/Autres boissons alcoolisées	1.1	par 100 ml	1010	Calcul automatisé		242	Calcul automatisé		0	Estimation	1129	n.i.			n.i.			n.i.			0	Estimation	1129	19	Estimation	1129	19	Estimation	1129	n.i.			0	Estimation	1129	0	Estimation	1129	n.i.			23.7	Estimation	1072	57.3	Calcul automatisé		n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
1254			Ballantine's 12 years old blended Scotch Whisky (40 vol%)		Boissons alcoolisées/Spiritueux	0.9	par 100 ml	917	Calcul automatisé		221	Calcul automatisé		0	Estimation	1129	n.i.			n.i.			n.i.			0	Estimation	1129	0	Estimation	1129	n.i.			n.i.			0	Estimation	1129	0	Estimation	1129	n.i.			31.6	Estimation	1061	68.4	Calcul automatisé		n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
1255			Ballantine's Finest blended Scotch Whisky (40 vol%)		Boissons alcoolisées/Spiritueux	0.9	par 100 ml	917	Calcul automatisé		221	Calcul automatisé		0	Estimation	1129	n.i.			n.i.			n.i.			0	Estimation	1129	0	Estimation	1129	n.i.			n.i.			0	Estimation	1129	0	Estimation	1129	n.i.			31.6	Estimation	1062	68.4	Calcul automatisé		n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
1160	4109		Bière lager (moyenne)		Boissons alcoolisées/Bière	1	par 100 ml	162	Calcul automatisé		39	Calcul automatisé		0	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		n.i.			n.i.			0	Calcul sur la base des ingrédients		2.4	Calcul sur la base des ingrédients		0.3	Calcul sur la base des ingrédients		n.i.			0.1	Calcul sur la base des ingrédients		0.5	Calcul sur la base des ingrédients		n.i.			3.9	Calcul sur la base des ingrédients		93.2	Calcul automatisé		n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			3.3	Calcul sur la base des ingrédients		n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
1159	3588		Bière sans alcool (moyenne)		Boissons alcoolisées/Bière	1	par 100 ml	88	Calcul automatisé		21	Calcul automatisé		0	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		n.i.			n.i.			0	Calcul sur la base des ingrédients		4.1	Calcul sur la base des ingrédients		1.3	Calcul sur la base des ingrédients		n.i.			0.1	Calcul sur la base des ingrédients		0.4	Calcul sur la base des ingrédients		n.i.			0.3	Calcul sur la base des ingrédients		95	Calcul automatisé		n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			2.9	Calcul sur la base des ingrédients		n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
13434			Boisson au malt et cacao, enrichie en vitamines et minéraux, poudre (Moyenne de produits du commerce)		Boissons sans alcool/Boissons à base d'extrait de malt		par 100 g de portion comestible	1620	Calcul automatisé		382	Calcul automatisé		3.6	-	1682	2.4	-	1682	n.i.			n.i.			n.i.			76.2	-	1682	52.1	-	1682	n.i.			4.5	-	1682	8.9	-	1682	0.5	-	1682	n.i.			n.i.			637	Calcul automatisé		637	Calcul automatisé		637	-	1682	n.i.			n.i.			0.88	-	1682	1.11	-	1682	1.11	-	1682	1.99	-	1682	12.74	-	1682	238	-	1682	4.78	-	1682	59.6	-	1682	4	-	1682	9.55	-	1682	n.i.			n.i.			n.i.			530	-	1682	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
13433			Boisson d'amande, nature, enrichie en calcium et vitamines (Moyenne de produits du commerce)		Lait et produits laitiers/Substituts du lait	1	par 100 ml	50	Calcul automatisé		12	Calcul automatisé		1.1	-	1682	0.1	-	1682	n.i.			n.i.			n.i.			0.3	-	1682	0.3	-	1682	n.i.			0.3	-	1682	0.2	-	1682	0.2	-	1682	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			0.38	-	1682	n.i.			n.i.			n.i.			n.i.			0.8	-	1682	n.i.			n.i.			n.i.			n.i.			120	-	1682	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
13428			Boisson d'amande, nature (Moyenne de produits du commerce)		Lait et produits laitiers/Substituts du lait	1	par 100 ml	181	Calcul automatisé		44	Calcul automatisé		3.2	-	1682	0.3	-	1682	n.i.			n.i.			n.i.			2.3	-	1682	2	-	1682	n.i.			0.6	-	1682	1.1	-	1682	0.1	-	1682	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
13430			Boisson d'avoine, nature, enrichie en calcium (Moyenne de produits du commerce)		Lait et produits laitiers/Substituts du lait	1	par 100 ml	189	Calcul automatisé		45	Calcul automatisé		1.7	-	1682	0.2	-	1682	n.i.			n.i.			n.i.			6.5	-	1682	5.1	-	1682	n.i.			0.5	-	1682	0.7	-	1682	0.1	-	1682	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			120	-	1682	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
13426			Boisson d'avoine, nature (Moyenne de produits du commerce)		Lait et produits laitiers/Substituts du lait	1	par 100 ml	181	Calcul automatisé		43	Calcul automatisé		1.4	-	1682	0.1	-	1682	n.i.			n.i.			n.i.			6.6	-	1682	4.6	-	1682	n.i.			0.8	-	1682	0.7	-	1682	0.1	-	1682	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
13429			Boisson de riz, nature, enrichie en calcium (Moyenne de produits du commerce)		Lait et produits laitiers/Substituts du lait	1	par 100 ml	230	Calcul automatisé		55	Calcul automatisé		1.4	-	1682	0.2	-	1682	n.i.			n.i.			n.i.			9.8	-	1682	5.7	-	1682	n.i.			0.5	-	1682	0.5	-	1682	0.1	-	1682	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			120	-	1682	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
13427			Boisson de riz, nature (Moyenne de produits du commerce)		Lait et produits laitiers/Substituts du lait	1	par 100 ml	216	Calcul automatisé		51	Calcul automatisé		1.1	-	1682	0.1	-	1682	n.i.			n.i.			n.i.			9.7	-	1682	6.9	-	1682	n.i.			0.4	-	1682	0.4	-	1682	0.1	-	1682	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
13432			Boisson de soja, nature, enrichie en calcium et vitamines (Moyenne de produits du commerce)		Lait et produits laitiers/Substituts du lait	1	par 100 ml	177	Calcul automatisé		42	Calcul automatisé		1.9	-	1682	0.4	-	1682	n.i.			n.i.			n.i.			2.8	-	1682	2.3	-	1682	n.i.			0.5	-	1682	3.1	-	1682	0.1	-	1682	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			0.32	-	1682	n.i.			n.i.			n.i.			n.i.			0.6	-	1682	n.i.			n.i.			n.i.			n.i.			120	-	1682	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
13431			Boisson de soja, nature, enrichie en calcium (Moyenne de produits du commerce)		Lait et produits laitiers/Substituts du lait	1	par 100 ml	186	Calcul automatisé		44	Calcul automatisé		2.1	-	1682	0.4	-	1682	n.i.			n.i.			n.i.			2.6	-	1682	2	-	1682	n.i.			0.5	-	1682	3.6	-	1682	0.1	-	1682	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			120	-	1682	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
1145	4060		Calanda Lager (4.8 vol%)		Boissons alcoolisées/Bière	1	par 100 ml	167	Calcul automatisé		40	Calcul automatisé		<0.1	-	1045	<0.1	-	1045	n.i.			n.i.			0	Estimation	1003	2.6	-	1045	0	-	1045	n.i.			0.1	-	1045	0.5	-	1045	n.i.			3.8	Estimation	1047	93	Estimation	1003	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			1	-	1045	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
1146	3687		Calanda Lemon (2.4 vol%)		Boissons alcoolisées/Bière	1	par 100 ml	154	Calcul automatisé		37	Calcul automatisé		<0.1	-	1046	<0.1	-	1046	n.i.			n.i.			0	Estimation	1003	5.3	-	1046	3.8	-	1046	n.i.			0.1	-	1046	0.3	-	1046	n.i.			1.9	Estimation	1048	92.5	Estimation	1003	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			1	-	1046	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
1138	3689		Cardinal Lager (4.8 vol%)		Boissons alcoolisées/Bière	1	par 100 ml	153	Calcul automatisé		37	Calcul automatisé		0	-	1055	0	-	1055	n.i.			n.i.			0	Estimation	1003	2	-	1055	<0.5	-	1055	n.i.			0	Estimation	1003	<0.5	-	1055	n.i.			3.8	Estimation	1055	93.7	Calcul automatisé		n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			<5	-	1055	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
1155	3562		Cardinal sans alcool (<0.5 vol%)		Boissons alcoolisées/Bière	1	par 100 ml	80	Calcul automatisé		19	Calcul automatisé		0	-	1056	0	-	1056	n.i.			n.i.			0	Estimation	1003	3.5	-	1056	1	-	1056	n.i.			0	Estimation	1003	<0.5	-	1056	n.i.			<0.4	-	1056	95.6	Calcul automatisé		n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			<5	-	1056	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
1139	3688		Carlsberg (bière lager, 5 vol%)		Boissons alcoolisées/Bière	1	par 100 ml	167	Calcul automatisé		40	Calcul automatisé		0	-	1057	0	-	1057	n.i.			n.i.			0	Estimation	1003	2.5	-	1057	<0.5	-	1057	n.i.			0	Estimation	1003	<0.5	-	1057	n.i.			4	Estimation	1057	93	Calcul automatisé		n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			<5	-	1057	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
1156	3587		Carlsberg sans alcool (<0.5 vol%)		Boissons alcoolisées/Bière	1	par 100 ml	80	Calcul automatisé		19	Calcul automatisé		0	-	1058	0	-	1058	n.i.			n.i.			0	Estimation	1003	3.5	-	1058	1	-	1058	n.i.			0	Estimation	1003	<0.5	-	1058	n.i.			<0.4	-	1058	95.6	Calcul automatisé		n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			<5	-	1058	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
1256			Chivas Regal 12 years old blended Scotch Whisky (40 vol%)		Boissons alcoolisées/Spiritueux	0.9	par 100 ml	917	Calcul automatisé		221	Calcul automatisé		0	Estimation	1129	n.i.			n.i.			n.i.			0	Estimation	1129	0	Estimation	1129	n.i.			n.i.			0	Estimation	1129	0	Estimation	1129	n.i.			31.6	Estimation	1063	68.4	Calcul automatisé		n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
1153	4084		Clausthaler Classic (0.45 vol%)		Boissons alcoolisées/Bière	1	par 100 ml	112	Calcul automatisé		27	Calcul automatisé		0	-	1077	0	-	1077	n.i.			n.i.			n.i.			5.6	-	1077	2.8	-	1077	n.i.			0.4	-	1077	0.2	-	1077	n.i.			0.4	Estimation	1077	93.4	Calcul automatisé		n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			2	-	1077	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
1154	4108		Clausthaler Extra Herb (0.45 vol%)		Boissons alcoolisées/Bière	1	par 100 ml	89	Calcul automatisé		21	Calcul automatisé		0	-	1077	0	-	1077	n.i.			n.i.			n.i.			4.3	-	1077	2.2	-	1077	n.i.			0.3	-	1077	0.2	-	1077	n.i.			0.4	Estimation	1077	94.8	Calcul automatisé		n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			2	-	1077	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			No
538	4276	1001058	Eau minérale Adelbodner		Boissons sans alcool/Eau minérale	1	par 100 ml	0	Calcul automatisé		0	Calcul automatisé		0	-	22	0	-	22	0	-	22	0	-	22	0	Estimation	51	0	Estimation	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	n.i.			0	Estimation	51	99.8	Estimation	1662	0	Calcul automatisé		0	Calcul automatisé		0	Estimation	51	0	Estimation	51	0	Estimation	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.1	-	1680	0.7	-	1680	0.7	-	1680	58	-	1680	3.9	-	1680	n.i.			n.i.			5	-	1680	n.i.			n.i.			No
1171	4623		Eau minérale Adello		Boissons sans alcool/Eau minérale	1	par 100 ml	0	Calcul automatisé		0	Calcul automatisé		0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	n.i.			0	Estimation	1003	99.8	Estimation	1662	0	Calcul automatisé		0	Calcul automatisé		0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0.2	-	1680	0.6	-	1680	0.7	-	1680	53	-	1680	3.7	-	1680	n.i.			n.i.			2.5	-	1680	n.i.			n.i.			No
540	4634	1001060	Eau minérale Allegra		Boissons sans alcool/Eau minérale	1	par 100 ml	0	Calcul automatisé		0	Calcul automatisé		0	-	22	0	-	22	0	-	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	n.i.			0	Estimation	51	100	Estimation	1662	0	Calcul automatisé		0	Calcul automatisé		0	Estimation	51	0	Estimation	51	0	Estimation	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.1	-	1680	0.3	-	1680	0.3	-	1680	10	-	1680	2.4	-	1680	n.i.			n.i.			1	-	1680	n.i.			n.i.			No
1096	3929		Eau minérale Appenzell (Gontenbad)		Boissons sans alcool/Eau minérale	1	par 100 ml	0	Calcul automatisé		0	Calcul automatisé		0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	n.i.			0	Estimation	1003	100	Estimation	1662	n.i.			n.i.			0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			0.1	-	1680	0.3	-	1680	0.6	-	1680	11	-	1680	1.7	-	1680	n.i.			n.i.			<1	-	1680	n.i.			n.i.			No
