ID	ID V 4.0	ID SwissFIR	Nom	Synonymes	Catégorie	Densité	Unité de matrice	Énergie, kilojoules	Dérivation de la valeur	Source	Énergie, calories	Dérivation de la valeur	Source	Lipides, totaux (g)	Dérivation de la valeur	Source	Acides gras, saturés (g)	Dérivation de la valeur	Source	Acides gras, mono-insaturés (g)	Dérivation de la valeur	Source	Acides gras, poly-insaturés (g)	Dérivation de la valeur	Source	Cholestérol (mg)	Dérivation de la valeur	Source	Glucides, disponibles (g)	Dérivation de la valeur	Source	Sucres (g)	Dérivation de la valeur	Source	Amidon (g)	Dérivation de la valeur	Source	Fibres alimentaires (g)	Dérivation de la valeur	Source	Proteines (g)	Dérivation de la valeur	Source	Sel (NaCl) (g)	Dérivation de la valeur	Source	Alcool (g)	Dérivation de la valeur	Source	Eau (g)	Dérivation de la valeur	Source	Activité de vitamine A, RE (µg-RE)	Dérivation de la valeur	Source	Activité de vitamine A, RAE (µg-RE)	Dérivation de la valeur	Source	Equivalents d’all-transrétinol (µg-RE)	Dérivation de la valeur	Source	Activité de bétacarotène (µg-BCE)	Dérivation de la valeur	Source	Bétacarotène (µg)	Dérivation de la valeur	Source	Vitamine B1 (thiamine) (mg)	Dérivation de la valeur	Source	Vitamine B2 (riboflavine) (mg)	Dérivation de la valeur	Source	Vitamine B6 (pyridoxine) (mg)	Dérivation de la valeur	Source	Vitamine B12 (cobalamine) (µg)	Dérivation de la valeur	Source	Niacine (mg)	Dérivation de la valeur	Source	Folate (µg)	Dérivation de la valeur	Source	Acide pantothénique (mg)	Dérivation de la valeur	Source	Vitamine C (acide ascorbique) (mg)	Dérivation de la valeur	Source	Vitamine D (calciférol) (µg)	Dérivation de la valeur	Source	Activité de vitamine E (mg-ATE)	Dérivation de la valeur	Source	Potassium (K) (mg)	Dérivation de la valeur	Source	Sodium (Na) (mg)	Dérivation de la valeur	Source	Clor (Cl) (mg)	Dérivation de la valeur	Source	Calcium (Ca) (mg)	Dérivation de la valeur	Source	Magnésium (Mg) (mg)	Dérivation de la valeur	Source	Phosphore (P) (mg)	Dérivation de la valeur	Source	Fer (Fe) (mg)	Dérivation de la valeur	Source	Iode (I) (µg)	Dérivation de la valeur	Source	Zinc (Zn)  (mg)	Dérivation de la valeur	Source	Sélénium (Se) (µg)	Dérivation de la valeur	Source	Entrée modifiée
379	3629	1000842	Abricot, cru		Fruits/Fruits frais		par 100 g de portion comestible	204	Calcul automatisé		48	Calcul automatisé		0.1	-	43	tr.	-	43	tr.	-	43	tr.	-	43	0	-	43	10	-	43	10	-	43	tr.	-	43	2.1	-	43	0.8	-	43	0	Calcul automatisé		0	-	43	86.7	-	43	302	Calcul automatisé		151	Calcul automatisé		0	Estimation	51	1813	-	"1530	1662"	1859	-	"105	124	1670"	0.03	-	"43	1670"	0.04	-	"43	1670"	0.06	-	"43	1670"	0	-	43	0.48	-	"43	1670"	7	-	43	0.23	-	"43	1670"	5.7	-	"43	1670"	0	-	43	0.7	-	43	320	-	43	2	-	43	1	-	36	16	-	43	10	-	43	20	-	43	0.4	-	43	0.5	-	36	0.1	-	36	n.i.			No
1051	3766		Abricot, cuit,  égoutté (sans adjonction de sucre)		Fruits/Fruits cuits (conserves comprises)		par 100 g de portion comestible	255	Calcul automatisé		60	Calcul automatisé		0.1	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		12.5	Calcul sur la base des ingrédients		12.5	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		2.6	Calcul sur la base des ingrédients		1	Calcul sur la base des ingrédients		0	Calcul automatisé		0	Calcul sur la base des ingrédients		83.8	Calcul automatisé		378	Calcul automatisé		189	Calcul automatisé		0	Calcul sur la base des ingrédients		2266	Calcul sur la base des ingrédients		1743	Calcul sur la base des ingrédients		0.03	Calcul sur la base des ingrédients		0.04	Calcul sur la base des ingrédients		0.07	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		0.54	Calcul sur la base des ingrédients		6.1	Calcul sur la base des ingrédients		0.26	Calcul sur la base des ingrédients		4.9	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		0.88	Calcul sur la base des ingrédients		350	Calcul sur la base des ingrédients		2.5	Calcul sur la base des ingrédients		1.3	Calcul sur la base des ingrédients		19	Calcul sur la base des ingrédients		13	Calcul sur la base des ingrédients		25	Calcul sur la base des ingrédients		0.5	Calcul sur la base des ingrédients		0.6	Calcul sur la base des ingrédients		0.2	Calcul sur la base des ingrédients		n.i.			Oui
623	4730	1001170	Abricot, non sucré, conserve		Fruits/Fruits cuits (conserves comprises)		par 100 g de portion comestible	204	Calcul automatisé		48	Calcul automatisé		0.1	-	22	tr.	-	22	tr.	-	22	tr.	-	22	0	-	22	10	-	22	10	-	22	tr.	-	22	2.1	-	22	0.8	-	22	0	Calcul automatisé		0	-	22	86.7	-	22	149	Calcul automatisé		75	Calcul automatisé		0	-	51	895	-	51	713	-	89	0.03	-	22	0.05	-	22	0.06	-	22	0	-	22	0.54	-	22	3.5	-	22	0.26	-	22	3.5	-	22	0	-	22	0.53	-	22	280	-	22	2	-	22	1	-	22	15	-	22	10	-	22	20	-	22	0.4	-	22	0.5	-	22	0.1	-	22	n.i.			No
469	4047	1000952	Abricot, sec		Fruits/Fruits secs		par 100 g de portion comestible	1160	Calcul automatisé		275	Calcul automatisé		0.5	-	36	tr.	-	43	0.3	-	43	0.1	-	43	0	-	43	47.9	-	36	43.3	-	36	0	-	36	17.7	-	36	5	-	36	0	Calcul automatisé		0	-	43	17.6	-	36	917	Calcul automatisé		458	Calcul automatisé		0	Estimation	51	5500	Estimation	51	5500	-	124	0.01	-	43	0.16	-	43	0.26	-	43	0	-	43	3.2	-	43	13	-	43	0.7	-	43	8	-	43	0	-	43	4.5	-	43	1370	-	36	11	-	36	5.4	-	36	82	-	36	50	-	36	110	-	36	5.2	-	43	2.7	-	36	0.4	-	36	n.i.			No
621	3599	1001168	Abricot, sucré, conserve		Fruits/Fruits cuits (conserves comprises)		par 100 g de portion comestible	354	Calcul automatisé		83	Calcul automatisé		0.1	-	22	tr.	-	22	tr.	-	22	tr.	-	22	0	-	22	19	-	22	19	-	22	tr.	-	22	1.9	-	22	0.7	-	22	0	Calcul automatisé		0	-	22	78	-	22	149	Calcul automatisé		75	Calcul automatisé		0	-	51	895	-	51	713	-	89	0.03	-	22	0.04	-	22	0.06	-	22	0	-	22	0.49	-	22	3.2	-	22	0.23	-	22	3.2	-	22	0	-	22	0.47	-	22	260	-	22	1.8	-	22	1.1	-	22	14	-	22	9	-	22	18	-	22	0.4	-	22	0.5	-	22	0.1	-	22	n.i.			No
10533			Agar Agar		Divers/Gélifiants et liants		par 100 g de portion comestible	641	Calcul automatisé		160	Calcul automatisé		0.2	-	1473	n.i.			n.i.			n.i.			n.i.			0	-	1473	n.i.			n.i.			74.1	-	1473	2.4	-	1473	0.3	Calcul automatisé		n.i.			20.5	-	1473	n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			n.i.			52	-	1473	130	-	1473	n.i.			660	-	1473	100	-	1473	34	-	1473	4.5	-	1473	n.i.			1.5	-	1473	n.i.			No
5	4747	811057	Agneau, côtelette, crue (Suisse)		Viande et abats/Agneau, mouton		par 100 g de portion comestible	747	Calcul automatisé		179	Calcul automatisé		10.9	-	146	5.2	-	146	4	-	146	0.9	-	146	72	-	146	0	Estimation	51	0	Estimation	51	n.i.			0	Estimation	51	20.2	-	146	0.2	Calcul automatisé		0	Estimation	51	65.4	-	146	9	Calcul automatisé		9	Calcul automatisé		9	-	163	<5	-	51	<5	-	163	0.18	-	104	0.06	-	104	0.32	-	160	3.61	-	160	n.i.			6	-	81	0.57	-	163	0	Estimation	51	5.2	-	143	0.5	-	163	310	-	146	69	-	146	79	-	8	8.4	-	146	20	-	146	180	-	146	1.5	-	146	0.9	-	88	2.1	-	146	7	-	"1406	1544"	No
675	3901	1001237	Agneau, filet, cru		Viande et abats/Agneau, mouton		par 100 g de portion comestible	473	Calcul automatisé		112	Calcul automatisé		3.4	-	9	1.3	-	9	1.5	-	9	0.2	-	9	66	-	9	0	-	9	0	-	9	0	Estimation	51	0	-	22	20.4	-	9	0.2	Calcul automatisé		0	-	22	75.1	-	9	9	Calcul automatisé		9	Calcul automatisé		9	-	163	<5	-	51	<5	-	163	0.13	-	9	0.23	-	9	0.17	-	9	2.2	-	9	6.51	-	9	24	-	9	0.66	-	9	0	-	9	tr.	-	22	0.19	-	9	280	-	9	68	-	9	79	-	9	12	-	9	27	-	9	190	-	9	1.9	-	9	0.7	-	9	3.2	-	9	4.1	-	1544	No
17	4753	812058	Agneau, filet, cru (Australie, Nouvelle-Zélande)	Coquille	Viande et abats/Agneau, mouton		par 100 g de portion comestible	493	Calcul automatisé		117	Calcul automatisé		3.3	-	146	1.9	-	146	1.9	-	146	0.4	-	146	72	-	146	0	Estimation	51	0	Estimation	51	n.i.			0	Estimation	51	21.8	-	146	0.1	Calcul automatisé		0	Estimation	51	73	-	146	9	Calcul automatisé		9	Calcul automatisé		9	-	163	<5	-	51	<5	-	163	0.18	-	104	0.06	-	104	0.51	-	146	3.61	-	160	n.i.			6	-	81	0.92	-	163	0	Estimation	51	2.9	-	143	0.5	-	163	330	-	1406	44	-	146	79	-	8	3.8	-	146	23	-	146	200	-	146	1.9	-	146	0.8	-	88	2.3	-	146	8.7	-	"1406	1544"	No
13273			"Agneau, filet, grillé à point"" (sans adjonction de graisse ni de sel)"""		Viande et abats/Agneau, mouton		par 100 g de portion comestible	630	Calcul automatisé		150	Calcul automatisé		4.5	Calcul sur la base des ingrédients		1.8	Calcul sur la base des ingrédients		1.9	Calcul sur la base des ingrédients		0.2	Calcul sur la base des ingrédients		88	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		27.2	Calcul sur la base des ingrédients		0.2	Calcul automatisé		0	Calcul sur la base des ingrédients		68.3	Calcul automatisé		13	Calcul automatisé		12	Calcul automatisé		11	Calcul sur la base des ingrédients		7	Calcul sur la base des ingrédients		5	Calcul sur la base des ingrédients		0.1	Calcul sur la base des ingrédients		0.25	Calcul sur la base des ingrédients		0.14	Calcul sur la base des ingrédients		2.05	Calcul sur la base des ingrédients		6.08	Calcul sur la base des ingrédients		25.6	Calcul sur la base des ingrédients		0.7	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		0.2	Calcul sur la base des ingrédients		290	Calcul sur la base des ingrédients		77	Calcul sur la base des ingrédients		110	Calcul sur la base des ingrédients		14	Calcul sur la base des ingrédients		31	Calcul sur la base des ingrédients		220	Calcul sur la base des ingrédients		2.4	Calcul sur la base des ingrédients		0.9	Calcul sur la base des ingrédients		4.3	Calcul sur la base des ingrédients		5.5	Calcul sur la base des ingrédients		Oui
