Banca dati svizzera dei valori nutritivi – Prodotti  a marchio V6.1 (28.03.2019)																																																																																																																																
																																																																																																																																
ID	ID V 4.0	ID SwissFIR	Nome	Sinonimi	Categoria	Densità	Unità di riferimento	Energia, kilojoules	Deduzione del valore	Fonte	Energia, calorie	Deduzione del valore	Fonte	Lipidi, totali (g)	Deduzione del valore	Fonte	Acidi grassi, saturi (g)	Deduzione del valore	Fonte	Acidi grassi, monoinsaturi (g)	Deduzione del valore	Fonte	Acidi grassi, polinsaturi (g)	Deduzione del valore	Fonte	Colesterolo (mg)	Deduzione del valore	Fonte	Glucidi, disponibili (g)	Deduzione del valore	Fonte	Zuccheri (g)	Deduzione del valore	Fonte	Amido (g)	Deduzione del valore	Fonte	Fibra alimentare (g)	Deduzione del valore	Fonte	Proteine (g)	Deduzione del valore	Fonte	Sale (NaCl) (g)	Deduzione del valore	Fonte	Alcool (g)	Deduzione del valore	Fonte	Acqua (g)	Deduzione del valore	Fonte	Attività di vitamina A, RE (µg-RE)	Deduzione del valore	Fonte	Attività di vitamina A, RAE (µg-RE)	Deduzione del valore	Fonte	Equivalenti di all-trans-retinolo (µg-RE)	Deduzione del valore	Fonte	Attività di beta-carotene (µg-BCE)	Deduzione del valore	Fonte	Beta-carotene (µg)	Deduzione del valore	Fonte	Vitamina B1 (tiamina) (mg)	Deduzione del valore	Fonte	Vitamina B2 (riboflavina) (mg)	Deduzione del valore	Fonte	Vitamina B6 (piridossina) (mg)	Deduzione del valore	Fonte	Vitamina B12 (cobalamina) (µg)	Deduzione del valore	Fonte	Niacina (mg)	Deduzione del valore	Fonte	Folati (µg)	Deduzione del valore	Fonte	Acido pantotenico (mg)	Deduzione del valore	Fonte	Vitamina C (acido ascorbico) (mg)	Deduzione del valore	Fonte	Vitamina D (calciferolo) (µg)	Deduzione del valore	Fonte	Attività di vitamina E (mg-ATE)	Deduzione del valore	Fonte	Potassio (K) (mg)	Deduzione del valore	Fonte	Sodio (Na) (mg)	Deduzione del valore	Fonte	Cloro (Cl) (mg)	Deduzione del valore	Fonte	Calcio (Ca) (mg)	Deduzione del valore	Fonte	Magnesio (Mg) (mg)	Deduzione del valore	Fonte	Fosforo (P) (mg)	Deduzione del valore	Fonte	Ferro (Fe) (mg)	Deduzione del valore	Fonte	Iodio (I) (µg)	Deduzione del valore	Fonte	Zinco (Zn)  (mg)	Deduzione del valore	Fonte	Selenio (Se) (µg)	Deduzione del valore	Fonte	Voce modificata
1251			Aberlour 10 years old Malt Scotch Whisky (43 vol%)		Bevande alcoliche/Spiritosi	0.9	per 100 ml	986	Calcolo automatizzato		238	Calcolo automatizzato		0	Stima	1003	nd			nd			nd			0	Stima	1129	0	Stima	1003	nd			nd			0	Stima	1129	0	Stima	1003	nd			34	Stima	1059	66	Calcolo automatizzato		nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			No
1252			Absolut Vodka (40 vol%)		Bevande alcoliche/Spiritosi	0.9	per 100 ml	916	Calcolo automatizzato		221	Calcolo automatizzato		0	Stima	1003	nd			nd			nd			0	Stima	1129	0	Stima	1003	nd			nd			0	Stima	1129	0	Stima	1003	nd			31.6	Stima	1059	68.4	Calcolo automatizzato		nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			No
538	4276	1001058	Acqua minerale Adelbodner		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	-	22	0	-	22	0	-	22	0	-	22	0	Stima	51	0	Stima	22	0	-	22	0	Stima	51	0	-	22	0	-	22	nd			0	Stima	51	99.8	Stima	1662	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.1	-	1680	0.7	-	1680	0.7	-	1680	58	-	1680	3.9	-	1680	nd			nd			5	-	1680	nd			nd			No
1171	4623		Acqua minerale Adello		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	nd			0	Stima	1003	99.8	Stima	1662	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0.2	-	1680	0.6	-	1680	0.7	-	1680	53	-	1680	3.7	-	1680	nd			nd			2.5	-	1680	nd			nd			No
540	4634	1001060	Acqua minerale Allegra		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	-	22	0	-	22	0	-	22	0	-	22	0	Stima	51	0	-	22	0	-	22	0	Stima	51	0	-	22	0	-	22	nd			0	Stima	51	100	Stima	1662	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.1	-	1680	0.3	-	1680	0.3	-	1680	10	-	1680	2.4	-	1680	nd			nd			1	-	1680	nd			nd			No
1096	3929		Acqua minerale Appenzell (Gontenbad)		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	nd			0	Stima	1003	100	Stima	1662	nd			nd			0	Stima	1662	0	Stima	1662	0	Stima	1662	nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			0.1	-	1680	0.3	-	1680	0.6	-	1680	11	-	1680	1.7	-	1680	nd			nd			<1	-	1680	nd			nd			No
73	3968	821054	Acqua minerale Aproz (Aproz)		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	1662	0	Stima	1662	0	Stima	1662	0	Stima	1662	nd			0	Stima	1662	0	Stima	1662	0	Stima	1662	0	Stima	1662	0	Stima	1662	nd			0	Stima	1662	99.8	Stima	1662	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	1662	0	Stima	1662	nd			0	Stima	1662	0	Stima	1662	0	Stima	1662	0	Stima	1662	0	Stima	1662	0	Stima	1662	0	Stima	1662	0	Stima	1662	0	Stima	1662	0	Stima	1662	0.3	-	1680	0.6	-	1680	2	-	1680	36	-	1680	7	-	1680	nd			nd			<0.5	-	1680	nd			nd			No
104	4024	822055	Acqua minerale Aquella (Bouillets)		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	1662	0	Stima	1662	0	Stima	1662	0	Stima	1662	nd			0	Stima	1662	0	Stima	1662	0	Stima	1662	0	Stima	1662	0	Stima	1662	nd			0	Stima	1662	99.9	Stima	1662	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	1662	0	Stima	1662	nd			0	Stima	1662	0	Stima	1662	0	Stima	1662	0	Stima	1662	0	Stima	1662	0	Stima	1662	0	Stima	1662	0	Stima	1662	0	Stima	1662	0	Stima	1662	0.3	-	1680	0.4	-	1680	1.6	-	1680	30	-	1680	7.5	-	1680	nd			nd			<0.5	-	1680	nd			nd			No
541	4001	1001061	Acqua minerale Arkina		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	-	22	0	-	22	0	-	22	0	-	22	0	Stima	51	0	-	22	0	-	22	0	Stima	51	0	-	22	0	-	22	nd			0	Stima	51	100	Stima	1662	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.1	-	1680	0.9	-	1680	0.2	-	1680	8.5	-	1680	2.6	-	1680	tr.	-	22	nd			<1	-	1680	nd			nd			No
1178	4663		Acqua minerale Badoit (St Galmier)		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	nd			0	Stima	1003	99.9	Stima	1662	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	1.1	-	1680	18	-	1680	5.4	-	1680	15	-	1680	8	-	1680	nd			nd			nd			nd			nd			No
