ID	ID V 4.0	ID SwissFIR	Nome	Sinonimi	Categoria	Densità	Unità di riferimento	Energia, kilojoules	Deduzione del valore	Fonte	Energia, calorie	Deduzione del valore	Fonte	Lipidi, totali (g)	Deduzione del valore	Fonte	Acidi grassi, saturi (g)	Deduzione del valore	Fonte	Acidi grassi, monoinsaturi (g)	Deduzione del valore	Fonte	Acidi grassi, polinsaturi (g)	Deduzione del valore	Fonte	Colesterolo (mg)	Deduzione del valore	Fonte	Glucidi, disponibili (g)	Deduzione del valore	Fonte	Zuccheri (g)	Deduzione del valore	Fonte	Amido (g)	Deduzione del valore	Fonte	Fibra alimentare (g)	Deduzione del valore	Fonte	Proteine (g)	Deduzione del valore	Fonte	Sale (NaCl) (g)	Deduzione del valore	Fonte	Alcool (g)	Deduzione del valore	Fonte	Acqua (g)	Deduzione del valore	Fonte	Attività di vitamina A, RE (µg-RE)	Deduzione del valore	Fonte	Attività di vitamina A, RAE (µg-RE)	Deduzione del valore	Fonte	Equivalenti di all-trans-retinolo (µg-RE)	Deduzione del valore	Fonte	Attività di beta-carotene (µg-BCE)	Deduzione del valore	Fonte	Beta-carotene (µg)	Deduzione del valore	Fonte	Vitamina B1 (tiamina) (mg)	Deduzione del valore	Fonte	Vitamina B2 (riboflavina) (mg)	Deduzione del valore	Fonte	Vitamina B6 (piridossina) (mg)	Deduzione del valore	Fonte	Vitamina B12 (cobalamina) (µg)	Deduzione del valore	Fonte	Niacina (mg)	Deduzione del valore	Fonte	Folati (µg)	Deduzione del valore	Fonte	Acido pantotenico (mg)	Deduzione del valore	Fonte	Vitamina C (acido ascorbico) (mg)	Deduzione del valore	Fonte	Vitamina D (calciferolo) (µg)	Deduzione del valore	Fonte	Attività di vitamina E (mg-ATE)	Deduzione del valore	Fonte	Potassio (K) (mg)	Deduzione del valore	Fonte	Sodio (Na) (mg)	Deduzione del valore	Fonte	Cloro (Cl) (mg)	Deduzione del valore	Fonte	Calcio (Ca) (mg)	Deduzione del valore	Fonte	Magnesio (Mg) (mg)	Deduzione del valore	Fonte	Fosforo (P) (mg)	Deduzione del valore	Fonte	Ferro (Fe) (mg)	Deduzione del valore	Fonte	Iodio (I) (µg)	Deduzione del valore	Fonte	Zinco (Zn)  (mg)	Deduzione del valore	Fonte	Selenio (Se) (µg)	Deduzione del valore	Fonte	Voce modificata
414	4010	1000886	Acciuga sott'olio, sgocciolata		Pesce/Pesci di mare		per 100 g di parte edibile	765	Calcolo automatizzato		182	Calcolo automatizzato		8.5	-	1008	2.9	-	1008	3.4	-	1008	1.3	-	1008	76	-	1008	0.2	-	1008	0.1	-	1008	tr.	-	22	0	-	43	26.4	-	1008	12	Calcolo automatizzato		0	-	43	55.1	-	1008	12	Calcolo automatizzato		12	Calcolo automatizzato		12	-	156	0	Stima	51	0	Stima	51	0.04	-	43	0.25	-	1008	0.37	-	1008	20.9	-	1008	3.9	-	1008	16	-	43	0.63	-	1008	0.5	-	1008	1.7	-	1008	1.16	-	1008	250	-	1008	4970	-	1008	tr.	-	22	290	-	1008	230	-	1008	280	-	1008	2.7	-	1008	30	-	1008	1.7	-	1008	nd			No
1693			Aceto		Diversi/Sale, spezie e aromi	1.0056	per 100 ml	93	Calcolo automatizzato		22	Calcolo automatizzato		0	Stima	1129	0	Stima	1129	0	Stima	1129	0	Stima	1129	0	Stima	1129	0.7	-	1404	0.3	-	1404	0	-	1404	0	-	1404	0.1	-	1404	0	Calcolo automatizzato		0.1	-	1404	93.4	-	1404	0	Calcolo automatizzato		0	Calcolo automatizzato		0	-	1129	0	-	1129	0	-	1404	0	-	1404	0	-	1404	0	-	1404	0	-	1404	0	-	1404	0	-	1404	0	-	1404	0	-	1404	0	-	1404	0	-	1129	35	-	1404	7.7	-	1404	0.1	-	1660	7	-	1404	7.7	-	1404	12	-	1404	0.2	-	1404	<5	-	1404	0.2	-	1404	nd			No
47	4105	821010	Acqua di rubinetto (in medio in Svizzera)		Bevande analcoliche/Acqua potabile	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Calcolo automatizzato		0	Stima	51	100	Stima	51	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	153	1	Stima	153	1	Stima	153	7	Stima	153	1	Stima	153	0	Stima	153	0	Stima	153	0	Stima	51	0	Stima	153	nd			No
646	3615	1001198	Acquavite 40 vol% (Vodka, Gin)		Bevande alcoliche/Spiritosi	0.95	per 100 ml	920	Calcolo automatizzato		222	Calcolo automatizzato		0	-	8	0	-	8	0	-	8	0	-	8	0	Stima	51	0	-	8	0	-	8	0	-	8	0	-	8	0	-	8	0	Calcolo automatizzato		31.7	-	1528	63.2	-	1528	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0	-	8	0	-	8	0	-	8	0	-	8	0	-	8	0	-	8	0	-	8	0	-	8	0	-	8	0	-	8	3.8	-	1528	2.9	-	1528	0	-	8	0	-	8	0	-	8	3.8	-	1528	0	-	1528	0	-	8	0	-	1528	nd			No
520	3970	1001027	Acquavite di canna da zucchero (p.es. Rum)		Bevande alcoliche/Spiritosi	0.95	per 100 ml	920	Calcolo automatizzato		222	Calcolo automatizzato		0	-	22	0	-	22	0	-	22	0	-	22	0	Stima	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	Calcolo automatizzato		31.7	-	9	63.2	-	9	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0.01	-	9	0	-	8	0	-	8	0	-	8	0	-	8	0	-	8	0	-	8	0	-	8	0	-	8	0	-	8	1.9	-	9	1	-	9	0	-	8	0	-	8	0	-	8	4.8	-	9	0.1	-	9	0	-	8	0.1	-	9	nd			No
518	3734	1001025	Acquavite di cereali, 40% vol (p.es. Whisky)		Bevande alcoliche/Spiritosi	0.95	per 100 ml	972	Calcolo automatizzato		234	Calcolo automatizzato		0	-	22	0	-	22	0	-	22	0	-	22	0	Stima	51	0.1	-	9	0.1	-	22	0	-	22	0	-	22	0	-	22	0	Calcolo automatizzato		33.4	-	1528	61.5	-	1528	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	2.9	-	9	1	-	9	0	-	8	1.9	-	9	1	-	9	4.8	-	9	0	-	9	tr.	-	22	0	-	9	nd			No
644	4727	1001196	Acquavite di ciliege (Kirsch)		Bevande alcoliche/Spiritosi	0.95	per 100 ml	964	Calcolo automatizzato		233	Calcolo automatizzato		0	-	9	0	-	9	0	-	9	0	-	9	0	Stima	51	0	-	9	0	-	9	0	-	9	0	-	9	0	-	9	0	Calcolo automatizzato		33.3	-	9	61.7	-	9	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0	-	9	0	-	9	0	-	9	0	-	9	0	-	9	0	-	9	0	-	9	0	-	9	0	-	9	0	-	9	2.9	-	9	tr.	-	22	0	-	9	1.9	-	9	0	-	9	0	-	9	0	-	9	0	-	9	0	-	9	nd			No
519	3735	1001026	Acquavite di vino (p.es. Cognac, brandy)		Bevande alcoliche/Spiritosi	0.95	per 100 ml	944	Calcolo automatizzato		228	Calcolo automatizzato		0	-	22	0	-	22	0	-	22	0	-	22	0	Stima	51	1.9	-	9	1.9	-	22	0	-	22	0	-	22	0	-	22	0	Calcolo automatizzato		31.4	-	9	61.6	-	9	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0	-	8	0	-	8	0	-	8	0	-	8	0	-	8	0	-	8	0	-	8	0	-	8	0	-	8	0	-	8	1.9	-	9	1.9	-	9	2.9	-	9	0	-	8	1	-	9	0	-	8	0	-	8	0	-	8	0	-	9	nd			No
10353			Affettato (in media)		Prodotti carnei e insaccati/Salsicce scottate		per 100 g di parte edibile	1200	Calcolo automatizzato		291	Calcolo automatizzato		25.7	Calcolo in base agli ingredienti		9.7	Calcolo in base agli ingredienti		12	Calcolo in base agli ingredienti		2.4	Calcolo in base agli ingredienti		59	Calcolo in base agli ingredienti		0.7	Calcolo in base agli ingredienti		0.7	Calcolo in base agli ingredienti		0	Calcolo in base agli ingredienti		0	Calcolo in base agli ingredienti		14.2	Calcolo in base agli ingredienti		2	Calcolo automatizzato		0	Calcolo in base agli ingredienti		59.4	Calcolo automatizzato		3	Calcolo automatizzato		3	Calcolo automatizzato		3	Calcolo in base agli ingredienti		4	Calcolo in base agli ingredienti		4	Calcolo in base agli ingredienti		0.27	Calcolo in base agli ingredienti		0.13	Calcolo in base agli ingredienti		0.15	Calcolo in base agli ingredienti		0.95	Calcolo in base agli ingredienti		2.85	Calcolo in base agli ingredienti		2.3	Calcolo in base agli ingredienti		0.42	Calcolo in base agli ingredienti		26.8	Calcolo in base agli ingredienti		0.5	Calcolo in base agli ingredienti		0.21	Calcolo in base agli ingredienti		120	Calcolo in base agli ingredienti		790	Calcolo in base agli ingredienti		1110	Calcolo in base agli ingredienti		8.1	Calcolo in base agli ingredienti		12	Calcolo in base agli ingredienti		160	Calcolo in base agli ingredienti		0.8	Calcolo in base agli ingredienti		1.2	Calcolo in base agli ingredienti		1.5	Calcolo in base agli ingredienti		nd			Si
10533			Agar Agar		Diversi/Gelificanti e leganti		per 100 g di parte edibile	641	Calcolo automatizzato		160	Calcolo automatizzato		0.2	-	1473	nd			nd			nd			nd			0	-	1473	nd			nd			74.1	-	1473	2.4	-	1473	0.3	Calcolo automatizzato		nd			20.5	-	1473	nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			52	-	1473	130	-	1473	nd			660	-	1473	100	-	1473	34	-	1473	4.5	-	1473	nd			1.5	-	1473	nd			No
356	4364	1000819	Aglio, crudo		Verdure/Verdure fresche		per 100 g di parte edibile	578	Calcolo automatizzato		137	Calcolo automatizzato		0.5	-	43	0.1	-	43	tr.	-	43	0.3	-	43	0	-	43	24.5	-	43	2.4	-	43	22.1	-	43	3	-	43	7	-	43	0	Calcolo automatizzato		0	-	43	63.7	-	43	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	-	8	0.2	-	43	0.1	-	43	1.24	-	43	0	-	43	0.7	-	43	3	-	43	0.6	-	43	30	-	43	0	-	43	0	-	43	450	-	43	10	-	43	30	-	36	38	-	43	21	-	43	140	-	43	1.4	-	43	2.7	-	36	0.6	-	36	nd			No
18	4754	812059	Agnello, carré, crudo (Australia, Nuova Zelanda)		Carne e frattaglie/Agnello, pecora		per 100 g di parte edibile	652	Calcolo automatizzato		156	Calcolo automatizzato		8.3	-	146	4.3	-	146	3.5	-	146	0.9	-	146	68	-	146	0	Stima	51	0	Stima	51	nd			0	Stima	51	20.3	-	146	0.2	Calcolo automatizzato		0	Stima	51	67.6	-	146	9	Calcolo automatizzato		9	Calcolo automatizzato		9	-	163	<5	-	51	<5	-	163	0.18	-	104	0.06	-	104	0.61	-	146	3.61	-	160	1.2	-	160	6	-	81	0.57	-	163	0	Stima	51	2.9	-	143	0.5	-	163	300	-	146	63	-	146	79	-	8	7.5	-	146	24	-	146	180	-	146	1.8	-	146	0.9	-	88	2.2	-	146	nd			No
13304			Agnello, cosciott, arrosto (senza aggiunta di grassi o sale)		Carne e frattaglie/Agnello, pecora		per 100 g di parte edibile	965	Calcolo automatizzato		231	Calcolo automatizzato		12.2	Calcolo in base agli ingredienti		6.5	Calcolo in base agli ingredienti		5.6	Calcolo in base agli ingredienti		1.3	Calcolo in base agli ingredienti		97	Calcolo in base agli ingredienti		0	Calcolo in base agli ingredienti		0	Calcolo in base agli ingredienti		nd			0	Calcolo in base agli ingredienti		30.1	Calcolo in base agli ingredienti		0.2	Calcolo automatizzato		0	Calcolo in base agli ingredienti		57.6	Calcolo automatizzato		14	Calcolo automatizzato		13	Calcolo automatizzato		13	Calcolo in base agli ingredienti		7	Calcolo in base agli ingredienti		6	Calcolo in base agli ingredienti		0.16	Calcolo in base agli ingredienti		0.07	Calcolo in base agli ingredienti		0.41	Calcolo in base agli ingredienti		3.77	Calcolo in base agli ingredienti		nd			7.2	Calcolo in base agli ingredienti		1.1	Calcolo in base agli ingredienti		0	Calcolo in base agli ingredienti		7.2	Calcolo in base agli ingredienti		0.48	Calcolo in base agli ingredienti		390	Calcolo in base agli ingredienti		77	Calcolo in base agli ingredienti		110	Calcolo in base agli ingredienti		6.3	Calcolo in base agli ingredienti		25	Calcolo in base agli ingredienti		240	Calcolo in base agli ingredienti		2.3	Calcolo in base agli ingredienti		1.2	Calcolo in base agli ingredienti		5.4	Calcolo in base agli ingredienti		7	Calcolo in base agli ingredienti		Si
4	4743	811056	Agnello, cosciotto (Svizzera, Nuova Zelanda), crudo 		Carne e frattaglie/Agnello, pecora		per 100 g di parte edibile	647	Calcolo automatizzato		155	Calcolo automatizzato		8.2	-	146	4.4	-	146	3.7	-	146	0.9	-	146	65	-	146	0	Stima	51	0	Stima	51	nd			0	Stima	51	20.2	-	146	0.2	Calcolo automatizzato		0	Stima	51	69.1	-	146	9	Calcolo automatizzato		9	Calcolo automatizzato		9	-	163	<5	-	51	<5	-	163	0.18	-	104	0.06	-	104	0.46	-	146	3.61	-	160	nd			6	-	81	0.92	-	163	0	Stima	51	6.1	-	143	0.4	-	163	330	-	146	61	-	146	76	-	8	4.7	-	146	20	-	146	190	-	146	1.6	-	146	0.8	-	88	3.6	-	146	4.7	-	1544	No
